,size_bytes,height,width,framespersecond,duration,i_frame,b_frame,p_frame,channel_s,frame_count,proportion_of_this_stream,stream_size,len_text,bit_rate_mode_cbr,bit_rate_mode_vbr,channel_layout_c,channel_layout_l_r,channel_positions_front_c,channel_positions_front_l_r,other_bit_rate_mode_constant,other_bit_rate_mode_variable,bitrate
53,42745126.0,720.0,1280.0,25,311.32,129,2280,5374,2,13410,0.11655,4982073,1350,1,0,0,1,0,1,1,0,1098
54,55492912.0,720.0,1280.0,25,311.32,141,2902,4740,2,13410,0.08978,4982073,698,1,0,0,1,0,1,1,0,1425
55,24028564.0,720.0,1280.0,25,311.04,107,3929,3740,2,13398,0.20715,4977615,1019,1,0,0,1,0,1,1,0,617
56,200066734.0,720.0,1280.0,23,1459.0434782608695,582,14840,18136,2,60278,0.10983,21972492,2315,0,1,0,1,0,1,0,1,1143
57,295009568.0,720.0,1280.0,23,1458.0869565217392,794,0,32742,2,60239,0.07586,22379949,3113,0,1,0,1,0,1,0,1,1687
58,141203081.0,720.0,1280.0,23,1458.1739130434785,585,16966,15987,2,60242,0.1585,22381064,1879,0,1,0,1,0,1,0,1,807
59,73902268.0,360.0,640.0,23,1458.4347826086953,721,0,32823,2,60261,0.22721,16791092,3152,0,1,0,1,0,1,0,1,422
60,276709384.0,720.0,1280.0,23,1459.0434782608695,689,13503,19366,2,60278,0.08093,22394438,2389,0,1,0,1,0,1,0,1,1581
61,17094132.0,480.0,854.0,23,237.4782608695652,63,3085,2314,2,9813,0.21327,3645718,2640,1,0,0,1,0,1,1,0,600
62,23560548.0,480.0,854.0,23,340.4782608695652,81,4017,3733,2,14069,0.22185,5226904,2152,1,0,0,1,0,1,1,0,576
63,29013712.0,480.0,854.0,23,306.69565217391306,61,3651,3342,2,12673,0.15922999999999998,4619867,2380,1,0,0,1,0,1,1,0,788
64,7648110.0,480.0,854.0,23,137.52173913043478,35,1684,1444,2,5684,0.27091,2071927,1667,1,0,0,1,0,1,1,0,463
65,21390129.0,480.0,854.0,23,216.0,59,2439,2470,2,8926,0.15212,3253966,1522,1,0,0,1,0,1,1,0,825
66,25500347.0,480.0,854.0,23,227.7826086956522,79,2912,2248,2,9413,0.13714,3497110,2213,1,0,0,1,0,1,1,0,933
